Id,distance,Data/CP17/4MHA-4CNN_split.rels,Data/CP17/TEES_split.rels
d149.s0.2.8,6,FP,FP
d149.s1.11.19,8,FP,-
d149.s1.13.19,6,FP,-
d149.s1.15.19,4,FP,-
d149.s1.9.19,10,FP,-
d149.s2.10.16,6,FP,FP
d149.s2.16.18,2,FP,FP
d149.s2.16.20,4,FP,FP
d149.s2.16.22,6,FP,FP
d149.s2.8.16,8,FP,FP
d149.s3.10.17,7,FP,-
d149.s3.24.37,13,FP,-
d149.s3.30.37,7,FP,-
d149.s3.4.17,13,FP,-
d15.s2.13.19,6,FP,FP
d15.s2.13.21,8,FP,FP
d15.s2.15.19,4,FP,FP
d15.s2.15.21,6,FP,FP
d150.s0.0.13,13,FP,FP
d150.s0.0.8,8,FP,FP
d150.s14.2.11,9,FP,FP
d150.s14.2.13,11,FP,FP
d150.s14.2.16,14,FP,FP
d150.s14.2.9,7,FP,FP
d150.s17.2.12,10,FP,FP
d150.s17.2.14,12,FP,FP
d150.s17.2.16,14,FP,FP
d150.s17.2.19,17,FP,FP
d151.s2.0.21,21,FP,FP
d151.s2.0.23,23,FP,FP
d151.s2.0.27,27,FP,FP
d151.s2.0.29,29,FP,FP
d151.s2.0.33,33,FP,FP
d151.s2.2.21,19,FP,FP
d151.s2.2.23,21,FP,FP
d151.s2.2.27,25,FP,FP
d151.s2.2.29,27,FP,FP
d151.s2.2.33,31,FP,-
d151.s2.4.21,17,-,FP
d151.s2.4.23,19,-,FP
d151.s2.4.27,23,-,FP
d151.s2.4.29,25,-,FP
d151.s2.6.21,15,FP,FP
d151.s2.6.23,17,FP,FP
d151.s2.6.27,21,FP,FP
d151.s2.6.29,23,FP,FP
d152.s0.19.27,8,TP,TP
d152.s7.2.10,8,TP,TP
d152.s7.35.50,15,TP,TP
d152.s8.3.11,8,TP,TP
d153.s1.0.25,25,FP,FP
d153.s1.0.28,28,FP,FP
d153.s1.10.25,15,FP,FP
d153.s1.10.28,18,FP,FP
d153.s1.2.25,23,FP,FP
d153.s1.2.28,26,FP,FP
d153.s5.15.25,10,FP,FP
d153.s5.6.15,9,FP,FP
d153.s7.0.10,10,TP,-
d153.s7.2.10,8,TP,-
d154.s1.1.11,10,TP,TP
d154.s1.1.14,13,TP,TP
d154.s1.1.19,18,FP,FP
d154.s1.1.21,20,FP,FP
d154.s1.1.9,8,TP,TP
d154.s1.3.11,8,TP,TP
d154.s1.3.14,11,TP,TP
d154.s1.3.19,16,FP,FP
d154.s1.3.21,18,FP,-
d154.s1.3.9,6,TP,TP
d154.s3.3.16,13,FP,FP
d154.s3.3.18,15,FP,FP
d154.s3.5.16,11,FP,FP
d154.s3.5.18,13,FP,FP
d154.s3.7.16,9,FP,FP
d154.s3.7.18,11,FP,FP
d155.s3.26.35,9,FP,-
d155.s3.26.40,14,FP,-
d155.s3.31.35,4,FP,FP
d155.s3.32.35,3,FP,FP
d155.s3.35.46,11,-,FP
d155.s3.40.46,6,FP,FP
d155.s4.21.24,3,TP,-
d155.s5.13.20,7,FP,FP
d155.s5.13.21,8,FP,FP
d155.s5.13.25,12,FP,FP
d155.s5.2.13,11,FP,FP
d155.s5.31.34,3,FP,FP
d156.s0.0.11,11,TP,TP
d156.s0.5.11,6,FP,FP
d156.s1.0.20,20,TP,TP
d156.s1.2.20,18,TP,TP
d156.s9.16.24,8,FP,FP
d156.s9.18.24,6,-,FP
d157.s2.4.17,13,FP,FP
d157.s5.3.10,7,FP,FP
d157.s5.5.10,5,FP,FP
d157.s8.3.20,17,-,TP
d157.s8.5.20,15,TP,TP
d157.s9.2.5,3,FP,FP
d158.s1.11.17,6,TP,-
d158.s1.11.19,8,TP,-
d158.s1.11.24,13,TP,-
d158.s1.11.26,15,TP,-
d158.s1.9.17,8,TP,-
d158.s1.9.19,10,TP,-
d158.s1.9.24,15,TP,-
d158.s1.9.26,17,TP,-
d159.s4.15.22,7,FP,FP
d159.s4.17.22,5,FP,FP
d159.s4.26.41,15,TP,-
d159.s8.18.26,8,TP,-
d159.s8.18.28,10,TP,-
d159.s9.24.38,14,-,TP
d16.s0.7.10,3,FP,-
d16.s0.7.12,5,FP,-
d16.s0.7.16,9,FP,-
d16.s0.7.19,12,FP,-
d16.s1.2.19,17,TP,TP
d16.s1.4.19,15,TP,TP
d16.s10.16.33,17,FP,FP
d16.s10.16.36,20,FP,FP
d16.s10.26.33,7,FP,FP
d16.s10.26.36,10,FP,FP
d16.s10.3.16,13,FP,FP
d16.s10.3.26,23,FP,FP
d16.s12.5.15,10,-,FP
d16.s12.7.15,8,FP,FP
d16.s7.11.35,24,FP,FP
d16.s7.19.35,16,FP,FP
d16.s7.4.9,5,TP,-
d16.s7.9.19,10,FP,-
d16.s9.2.33,31,FP,FP
d160.s2.3.3,0,FP,-
d160.s8.6.32,26,FP,FP
d161.s0.10.13,3,FP,FP
d161.s2.28.31,3,FP,FP
d162.s5.0.9,9,FP,FP
d162.s5.4.9,5,FP,FP
d163.s0.7.14,7,FP,FP
d163.s4.10.22,12,FP,FP
d163.s4.8.22,14,FP,FP
d163.s5.25.35,10,TP,TP
d163.s5.27.35,8,TP,TP
d165.s2.8.15,7,TP,-
d165.s2.8.17,9,TP,-
d166.s9.0.20,20,FP,-
d166.s9.1.6,5,FP,-
d166.s9.6.20,14,FP,FP
d166.s9.6.26,20,FP,FP
d166.s9.6.28,22,FP,FP
d166.s9.6.35,29,FP,FP
d167.s10.15.23,8,-,TP
d167.s10.15.25,10,-,TP
d167.s6.10.21,11,TP,TP
d167.s6.10.23,13,TP,TP
d167.s6.10.25,15,TP,TP
d167.s6.10.32,22,TP,TP
d167.s9.4.10,6,-,FP
d168.s2.11.22,11,FP,FP
d168.s2.8.22,14,FP,FP
d168.s6.3.6,3,FP,FP
d170.s0.13.20,7,FP,FP
d170.s0.2.20,18,FP,FP
d170.s0.4.20,16,FP,FP
d170.s2.12.21,9,-,FP
d170.s2.28.35,7,FP,FP
d170.s2.32.35,3,FP,FP
d170.s2.5.21,16,FP,-
d170.s2.5.8,3,FP,FP
d170.s2.8.12,4,FP,FP
d170.s2.8.16,8,-,FP
d170.s6.9.29,20,FP,FP
d170.s6.9.31,22,FP,FP
d170.s7.41.48,7,-,FP
d170.s7.7.39,32,FP,FP
d170.s7.7.41,34,FP,FP
d170.s9.24.33,9,-,FP
d171.s3.0.27,27,FP,FP
d171.s3.0.31,31,FP,FP
d171.s3.14.27,13,FP,FP
d171.s3.14.31,17,FP,-
d171.s4.4.11,7,FP,FP
d171.s4.4.9,5,FP,FP
d171.s5.3.28,25,-,FP
d172.s0.4.10,6,TP,-
d172.s0.4.6,2,TP,TP
d172.s0.4.8,4,TP,-
d172.s1.10.12,2,TP,TP
d172.s3.8.17,9,FP,FP
d172.s3.8.21,13,FP,FP
d172.s3.8.26,18,FP,FP
d172.s7.6.15,9,FP,FP
d172.s7.6.23,17,-,FP
d174.s12.2.6,4,FP,-
d175.s0.22.37,15,FP,FP
d175.s0.22.39,17,FP,FP
d175.s0.24.39,15,FP,-
d177.s1.29.31,2,FP,FP
d177.s4.24.33,9,FP,FP
d178.s6.11.18,7,-,FP
d178.s6.13.18,5,FP,FP
d178.s6.18.45,27,FP,FP
d178.s6.35.45,10,FP,FP
d178.s6.9.11,2,FP,FP
d178.s6.9.13,4,FP,FP
d178.s6.9.16,7,FP,FP
d178.s6.9.22,13,-,FP
d178.s6.9.27,18,-,FP
d178.s6.9.33,24,-,FP
d178.s6.9.45,36,-,FP
d179.s12.4.14,10,TP,-
d179.s12.6.14,8,TP,-
d179.s12.9.14,5,TP,-
d179.s2.3.7,4,TP,TP
d179.s6.2.12,10,FP,-
d179.s6.2.15,13,FP,-
d179.s6.2.18,16,FP,-
d179.s6.2.24,22,TP,TP
d179.s6.2.26,24,TP,TP
d179.s6.2.28,26,TP,TP
d179.s6.2.36,34,TP,TP
d179.s8.8.16,8,TP,TP
d18.s0.5.9,4,FP,FP
d18.s2.0.28,28,FP,FP
d18.s2.2.28,26,FP,FP
d18.s6.0.14,14,FP,FP
d183.s3.0.21,21,FP,FP
d183.s3.2.21,19,FP,FP
d184.s0.1.8,7,FP,FP
d184.s1.1.20,19,TP,TP
d184.s1.1.22,21,TP,TP
d184.s1.1.26,25,TP,TP
d184.s1.1.28,27,TP,TP
d184.s1.20.31,11,-,TP
d184.s1.20.33,13,-,TP
d184.s1.20.47,27,-,FP
d184.s1.22.31,9,TP,TP
d184.s1.22.33,11,-,TP
d184.s1.22.47,25,-,FP
d184.s1.26.31,5,TP,TP
d184.s1.26.33,7,-,TP
d184.s1.26.47,21,-,FP
d184.s1.28.31,3,TP,TP
d184.s1.28.33,5,TP,TP
d184.s1.28.47,19,-,FP
d184.s1.7.20,13,TP,TP
d184.s1.7.22,15,TP,TP
d184.s1.7.26,19,TP,TP
d184.s1.7.28,21,TP,TP
d184.s10.10.16,6,FP,FP
d184.s2.13.23,10,FP,FP
d184.s2.13.25,12,FP,FP
d184.s2.13.30,17,FP,FP
d184.s2.13.32,19,FP,FP
d184.s3.15.31,16,-,FP
d184.s3.15.40,25,FP,FP
d184.s3.15.42,27,FP,FP
d184.s3.18.31,13,FP,FP
d184.s3.18.40,22,FP,FP
d184.s3.18.42,24,FP,FP
d184.s3.25.31,6,FP,FP
d184.s3.25.40,15,FP,FP
d184.s3.25.42,17,FP,FP
d184.s3.5.31,26,TP,TP
d184.s3.5.40,35,TP,TP
d184.s3.5.42,37,TP,TP
d184.s4.2.12,10,FP,FP
d184.s4.8.12,4,FP,FP
d184.s5.35.37,2,FP,FP
d184.s5.42.45,3,FP,FP
d184.s7.9.22,13,FP,FP
d184.s9.0.14,14,FP,FP
d184.s9.0.8,8,FP,FP
d185.s11.15.18,3,FP,FP
d185.s3.0.13,13,TP,TP
d185.s3.0.7,7,TP,TP
d185.s3.4.13,9,TP,TP
d185.s3.4.7,3,TP,TP
d187.s10.7.16,9,TP,TP
d187.s10.7.18,11,TP,TP
d187.s10.7.21,14,TP,TP
d187.s10.7.23,16,TP,TP
d187.s10.7.26,19,TP,TP
d187.s10.7.28,21,TP,TP
d187.s10.7.32,25,TP,TP
d189.s4.13.17,4,FP,FP
d189.s4.13.19,6,FP,FP
d19.s10.3.10,7,FP,FP
d191.s6.2.26,24,FP,FP
d191.s6.21.26,5,FP,FP
d191.s6.6.26,20,FP,FP
d193.s0.11.15,4,FP,-
d193.s0.15.17,2,FP,FP
d193.s0.9.11,2,FP,FP
d193.s2.17.20,3,FP,FP
d193.s2.20.24,4,FP,-
d193.s2.24.26,2,FP,FP
d193.s3.0.17,17,FP,FP
d193.s3.0.19,19,FP,-
d195.s1.0.12,12,FP,FP
d195.s1.0.14,14,FP,FP
d195.s1.0.24,24,-,TP
d195.s1.0.26,26,TP,TP
d195.s1.2.12,10,FP,FP
d195.s1.2.14,12,FP,FP
d195.s1.2.24,22,-,TP
d195.s1.21.24,3,-,TP
d195.s1.21.26,5,-,TP
d196.s1.6.10,4,FP,FP
d196.s5.45.48,3,FP,FP
d198.s10.1.17,16,FP,FP
d199.s1.23.29,6,TP,-
d199.s1.25.29,4,TP,-
d199.s1.29.40,11,TP,-
d199.s5.10.23,13,FP,FP
d199.s5.15.23,8,-,FP
d199.s5.8.23,15,FP,FP
d20.s11.3.14,11,-,FP
d20.s12.0.14,14,TP,-
d200.s2.9.12,3,TP,TP
d200.s2.9.14,5,TP,TP
d201.s5.32.37,5,-,TP
d201.s5.34.37,3,-,TP
d201.s6.25.28,3,TP,TP
d201.s7.5.10,5,FP,FP
d202.s4.4.16,12,-,FP
d202.s4.4.9,5,FP,FP
d202.s6.0.15,15,TP,TP
d202.s7.4.8,4,FP,FP
d204.s9.5.13,8,FP,FP
d204.s9.5.15,10,FP,FP
d204.s9.9.13,4,FP,FP
d204.s9.9.15,6,FP,FP
d205.s0.5.10,5,FP,FP
d205.s0.5.8,3,FP,FP
d205.s8.10.15,5,FP,FP
d205.s8.2.15,13,FP,FP
d205.s8.4.15,11,FP,FP
d205.s8.6.15,9,FP,FP
d205.s8.8.15,7,FP,FP
d206.s8.9.19,10,TP,TP
d207.s0.10.12,2,FP,FP
d207.s1.10.27,17,FP,-
d207.s2.1.6,5,-,FP
d207.s2.3.6,3,-,FP
d207.s3.9.19,10,FP,FP
d207.s4.13.20,7,FP,FP
d207.s4.20.27,7,-,FP
d207.s5.15.28,13,FP,-
d207.s7.12.18,6,FP,-
d208.s1.17.20,3,TP,-
d208.s1.17.22,5,TP,-
d208.s5.16.19,3,TP,TP
d208.s5.7.19,12,TP,TP
d208.s8.0.17,17,TP,-
d208.s8.2.17,15,TP,TP
d208.s8.7.17,10,TP,TP
d209.s4.16.27,11,TP,-
d209.s4.18.27,9,TP,-
d21.s0.3.5,2,FP,FP
d21.s4.7.12,5,FP,FP
d21.s4.7.18,11,FP,FP
d21.s5.2.11,9,FP,FP
d21.s5.2.12,10,FP,FP
d21.s5.2.23,21,FP,FP
d21.s5.2.26,24,FP,FP
d21.s5.2.9,7,FP,FP
d21.s6.0.11,11,-,FP
d21.s6.0.16,16,-,FP
d21.s8.12.23,11,FP,FP
d21.s8.8.12,4,FP,FP
d210.s6.10.13,3,FP,FP
d210.s6.10.15,5,FP,FP
d210.s6.10.17,7,FP,FP
d210.s6.13.27,14,-,TP
d210.s6.17.27,10,-,TP
d210.s6.8.13,5,FP,FP
d210.s6.8.15,7,FP,FP
d210.s6.8.17,9,FP,FP
d211.s10.11.24,13,TP,TP
d211.s10.13.24,11,TP,TP
d211.s10.16.24,8,TP,TP
d211.s10.9.24,15,TP,TP
d211.s12.8.19,11,TP,TP
d211.s12.8.21,13,TP,TP
d211.s12.8.23,15,TP,TP
d211.s12.8.26,18,TP,TP
d212.s3.7.8,1,FP,FP
d212.s3.8.16,8,FP,FP
d212.s4.10.20,10,FP,FP
d212.s4.4.20,16,FP,FP
d212.s4.7.20,13,FP,FP
d212.s7.11.16,5,FP,-
d213.s5.11.25,14,FP,FP
d213.s5.17.25,8,FP,FP
d213.s6.3.10,7,TP,TP
d215.s1.15.22,7,TP,TP
d215.s10.21.34,13,FP,FP
d215.s10.44.49,5,TP,TP
d215.s10.6.34,28,FP,FP
d215.s10.6.9,3,TP,TP
d215.s11.27.30,3,-,TP
d215.s11.30.42,12,-,FP
d215.s11.42.45,3,TP,TP
d215.s12.4.23,19,FP,FP
d215.s12.4.29,25,TP,TP
d215.s5.0.15,15,FP,FP
d215.s7.2.10,8,FP,FP
d215.s7.2.24,22,FP,-
d215.s8.0.43,43,-,FP
d215.s8.0.8,8,FP,FP
d215.s8.37.43,6,TP,TP
d218.s7.1.4,3,TP,TP
d219.s5.0.5,5,FP,FP
d22.s2.1.13,12,TP,TP
d22.s2.1.15,14,TP,TP
d22.s2.1.21,20,-,FP
d22.s2.1.23,22,-,FP
d22.s2.1.25,24,-,FP
d22.s2.1.27,26,-,FP
d22.s2.1.7,6,TP,TP
d220.s5.7.13,6,TP,TP
d223.s2.11.14,3,TP,TP
d226.s4.0.18,18,FP,FP
d226.s4.0.2,2,TP,TP
d226.s4.0.6,6,FP,FP
d226.s5.6.14,8,FP,-
d226.s5.6.16,10,FP,-
d226.s5.6.19,13,FP,-
d226.s7.7.11,4,TP,TP
d227.s10.0.12,12,FP,FP
d227.s10.0.18,18,FP,FP
d227.s10.0.22,22,FP,FP
d227.s2.0.4,4,FP,FP
d229.s3.10.14,4,FP,FP
d229.s3.2.10,8,FP,FP
d229.s3.2.4,2,-,FP
d229.s3.2.8,6,FP,FP
d229.s3.8.14,6,FP,FP
d229.s4.1.6,5,FP,FP
d229.s4.19.26,7,TP,TP
d229.s4.21.26,5,TP,TP
d229.s4.6.13,7,TP,TP
d229.s5.26.31,5,FP,FP
d229.s5.26.35,9,FP,FP
d229.s6.2.12,10,FP,FP
d229.s6.6.12,6,FP,FP
d229.s7.4.6,2,FP,FP
d23.s0.0.7,7,FP,FP
d23.s0.3.7,4,FP,FP
d23.s10.4.10,6,FP,FP
d23.s11.26.29,3,-,FP
d23.s2.4.18,14,FP,-
d23.s2.4.20,16,FP,FP
d23.s2.7.18,11,FP,-
d23.s2.7.20,13,FP,FP
d23.s4.5.7,2,FP,FP
d23.s5.0.13,13,FP,FP
d23.s5.0.7,7,FP,FP
d231.s5.13.17,4,TP,TP
d231.s5.13.19,6,TP,TP
d231.s7.3.12,9,TP,TP
d231.s7.3.8,5,TP,TP
d231.s8.1.16,15,FP,FP
d231.s8.1.20,19,FP,FP
d231.s8.11.16,5,TP,TP
d231.s8.11.20,9,-,TP
d231.s8.3.16,13,FP,FP
d231.s8.3.20,17,FP,FP
d232.s11.7.14,7,TP,TP
d232.s11.7.19,12,TP,TP
d233.s0.3.7,4,FP,FP
d233.s0.3.9,6,FP,FP
d233.s2.0.10,10,FP,FP
d233.s2.0.33,33,FP,FP
d233.s2.0.39,39,FP,FP
d233.s2.0.41,41,FP,FP
d233.s2.0.48,48,FP,FP
d233.s2.0.50,50,FP,FP
d233.s2.2.10,8,FP,FP
d233.s2.2.33,31,FP,FP
d233.s2.2.39,37,FP,-
d233.s2.2.41,39,FP,FP
d233.s2.2.48,46,FP,-
d233.s2.2.50,48,FP,FP
d233.s2.4.10,6,FP,FP
d233.s2.4.33,29,FP,FP
d233.s2.4.39,35,FP,-
d233.s2.4.41,37,FP,FP
d233.s2.4.48,44,FP,-
d233.s2.4.50,46,FP,-
d233.s3.5.13,8,FP,FP
d233.s3.5.14,9,FP,FP
d233.s3.5.16,11,FP,FP
d233.s3.5.19,14,FP,FP
d233.s6.5.13,8,FP,FP
d233.s6.5.15,10,FP,FP
d233.s6.5.30,25,FP,FP
d234.s8.12.16,4,TP,TP
d234.s8.2.6,4,TP,TP
d235.s6.1.15,14,FP,FP
