Id,distance,Data/CP17/4MHA.rels,Data/CP17/TEES.rels
d14.s3.19.33,14,FN,FN
d14.s3.3.21,18,FN,FN
d14.s3.21.33,12,FN,FN
d14.s3.3.6,3,TP,TP
d14.s4.1.18,17,FN,FN
d14.s4.1.4,3,TP,TP
d14.s5.6.8,2,TP,TP
d14.s5.17.19,2,TP,TP
d14.s6.1.15,14,FN,FN
d14.s6.1.3,2,TP,TP
d14.s7.10.26,16,FN,FN
d16.s1.2.19,17,TP,TP
d16.s1.4.19,15,TP,TP
d16.s7.4.9,5,TP,FN
d17.s4.8.56,48,FN,FN
d17.s4.14.56,42,FN,FN
d17.s4.21.56,35,FN,FN
d18.s4.8.8,0,FN,FN
d18.s9.12.30,18,FN,FN
d20.s11.3.14,11,FN,TP
d20.s11.3.14,11,FN,TP
d20.s12.0.12,12,TP,FN
d20.s12.0.14,14,TP,FN
d21.s7.2.13,11,FN,FN
d22.s2.1.21,20,FN,TP
d22.s2.1.23,22,FN,TP
d22.s2.1.25,24,FN,TP
d22.s2.1.27,26,FN,TP
d22.s2.1.7,6,TP,TP
d22.s2.1.13,12,TP,TP
d22.s2.1.15,14,TP,TP
d23.s0.0.7,7,TP,TP
d23.s0.3.7,4,TP,TP
d23.s2.4.18,14,TP,FN
d23.s2.4.20,16,TP,TP
d23.s2.7.18,11,FN,FN
d23.s2.7.20,13,FN,TP
d23.s5.0.5,5,TP,TP
d23.s5.0.11,11,TP,TP
d23.s5.5.5,0,FN,FN
d23.s6.1.8,7,FN,FN
d23.s6.1.10,9,FN,FN
d23.s6.8.8,0,FN,FN
d23.s6.8.10,2,FN,FN
d23.s6.1.21,20,FN,FN
d23.s6.8.21,13,FN,FN
d23.s7.13.13,0,FN,FN
d23.s7.13.16,3,FN,FN
d23.s8.0.9,9,FN,FN
d23.s8.0.11,11,FN,FN
d23.s8.9.9,0,FN,FN
d23.s8.9.11,2,FN,FN
d23.s10.4.10,6,TP,TP
d23.s11.26.40,14,FN,FN
d24.s0.8.14,6,TP,TP
d24.s2.15.26,11,TP,FN
d24.s2.17.26,9,TP,TP
d24.s3.5.10,5,FN,FN
d24.s4.13.24,11,FN,FN
d24.s10.20.25,5,FN,FN
d25.s2.9.16,7,FN,FN
d25.s2.9.20,11,FN,FN
d26.s1.16.30,14,TP,TP
d26.s1.17.30,13,TP,TP
d26.s1.21.30,9,TP,TP
d26.s1.5.30,25,TP,TP
d26.s3.4.14,10,TP,TP
d26.s3.6.14,8,TP,TP
d26.s3.19.26,7,TP,TP
d26.s10.0.11,11,TP,TP
d27.s1.9.22,13,FN,FN
d27.s10.5.9,4,FN,FN
d28.s1.8.49,41,FN,FN
d28.s1.8.53,45,FN,FN
d28.s1.8.55,47,FN,FN
d28.s1.8.47,39,FN,FN
d28.s1.8.20,12,FN,FN
d28.s1.26.31,5,TP,TP
d28.s2.4.20,16,FN,FN
d28.s2.20.28,8,FN,FN
d28.s4.8.31,23,FN,FN
d28.s4.10.31,21,FN,FN
d28.s4.15.31,16,FN,FN
d28.s7.25.44,19,FN,FN
d29.s0.15.22,7,TP,TP
d29.s5.2.15,13,FN,FN
d29.s7.15.36,21,FN,FN
d29.s7.18.36,18,FN,FN
d29.s8.9.17,8,TP,TP
d29.s8.9.19,10,TP,TP
d29.s8.9.23,14,FN,FN
d29.s9.7.17,10,FN,FN
d29.s9.9.17,8,FN,FN
d29.s9.30.36,6,TP,TP
d29.s9.7.26,19,TP,TP
d29.s9.9.26,17,TP,TP
d29.s9.30.41,11,TP,TP
d29.s10.6.13,7,FN,FN
d29.s10.8.13,5,FN,FN
d29.s10.13.18,5,FN,FN
d29.s11.5.22,17,FN,FN
d29.s11.22.28,6,FN,FN
d29.s12.5.24,19,FN,FN
d29.s12.13.24,11,FN,FN
d31.s0.0.11,11,FN,TP
d32.s0.1.12,11,FN,FN
d32.s0.7.12,5,FN,FN
d32.s7.12.26,14,FN,FN
d32.s16.10.22,12,FN,FN
d32.s18.11.18,7,FN,FN
d33.s0.1.17,16,FN,FN
d33.s0.1.15,14,FN,FN
d33.s1.20.37,17,FN,FN
d33.s1.20.40,20,FN,FN
d33.s2.8.16,8,FN,FN
d33.s4.10.14,4,FN,FN
d33.s4.10.16,6,FN,FN
d33.s4.10.19,9,FN,FN
d33.s7.13.20,7,FN,FN
d33.s8.3.11,8,TP,TP
d33.s8.3.29,26,FN,FN
d34.s2.14.21,7,FN,FN
d34.s2.14.21,7,FN,FN
d34.s2.17.21,4,FN,FN
d34.s2.17.21,4,FN,FN
d34.s6.2.11,9,TP,TP
d34.s6.2.11,9,TP,TP
d34.s9.13.24,11,TP,TP
d34.s9.20.24,4,TP,TP
d35.s2.0.2,2,TP,TP
d35.s8.6.32,26,TP,TP
d35.s8.8.32,24,TP,TP
d35.s8.10.32,22,FN,FN
d35.s8.14.32,18,TP,TP
d35.s8.16.32,16,FN,FN
d35.s9.3.32,29,FN,FN
d36.s9.18.26,8,FN,FN
d37.s1.15.20,5,FN,FN
d37.s1.8.20,12,FN,FN
d37.s1.14.20,6,FN,FN
d39.s7.8.24,16,FN,FN
d40.s5.12.22,10,FN,FN
d40.s5.15.22,7,FN,FN
d41.s4.7.10,3,FN,FN
d41.s6.2.31,29,FN,FN
d42.s3.13.33,20,FN,FN
d42.s3.15.33,18,FN,FN
d42.s4.11.19,8,FN,FN
d43.s0.4.7,3,FN,FN
d43.s0.5.7,2,FN,FN
d43.s2.30.38,8,TP,FN
d43.s2.38.42,4,FN,FN
d43.s6.20.21,1,TP,TP
d43.s7.7.16,9,FN,FN
d43.s7.10.16,6,TP,TP
d43.s7.16.17,1,TP,TP
d43.s7.16.26,10,FN,TP
d43.s8.4.5,1,TP,TP
d44.s7.15.19,4,FN,FN
d45.s0.5.15,10,TP,TP
d45.s1.6.33,27,FN,FN
d45.s1.17.33,16,FN,FN
d45.s2.15.19,4,TP,TP
d45.s2.5.19,14,TP,TP
d45.s3.2.15,13,FN,FN
d45.s3.2.16,14,TP,FN
d45.s3.2.16,14,TP,FN
d45.s3.2.16,14,TP,FN
d45.s4.23.26,3,TP,TP
d45.s4.23.42,19,TP,FN
d45.s5.0.10,10,FN,FN
d45.s5.2.10,8,FN,FN
d45.s5.10.18,8,FN,FN
d45.s9.3.13,10,TP,TP
d46.s1.18.44,26,FN,FN
d46.s1.18.56,38,FN,FN
d46.s1.23.44,21,FN,FN
d46.s1.23.56,33,FN,FN
d46.s1.28.44,16,FN,FN
d46.s1.28.56,28,FN,FN
d46.s1.33.44,11,FN,FN
d46.s1.33.56,23,FN,FN
d46.s1.39.44,5,FN,FN
d46.s1.39.56,17,FN,FN
d46.s1.8.44,36,FN,FN
d46.s1.8.56,48,FN,FN
d46.s1.13.44,31,FN,FN
d46.s1.13.56,43,FN,FN
d46.s3.10.32,22,FN,FN
d46.s3.15.32,17,FN,FN
d47.s1.0.18,18,TP,TP
d47.s2.5.7,2,FN,FN
d47.s2.5.9,4,FN,FN
d47.s2.5.11,6,FN,FN
d47.s2.5.13,8,FN,FN
d48.s8.5.28,23,FN,FN
d48.s8.7.28,21,FN,FN
d48.s8.10.28,18,FN,FN
d48.s8.12.28,16,FN,FN
d49.s2.0.10,10,FN,FN
d49.s2.13.17,4,FN,FN
d49.s4.30.33,3,FN,FN
d49.s4.24.27,3,FN,FN
d49.s6.0.11,11,TP,TP
d49.s6.0.14,14,TP,TP
d49.s6.2.11,9,TP,TP
d49.s6.2.14,12,TP,TP
d49.s7.0.26,26,TP,TP
d49.s7.0.30,30,TP,TP
d49.s7.0.4,4,TP,TP
d51.s1.8.15,7,FN,FN
d51.s1.8.18,10,FN,FN
d52.s0.0.9,9,FN,FN
d52.s0.3.9,6,FN,FN
d52.s1.1.32,31,FN,FN
d53.s6.26.28,2,TP,TP
d53.s11.1.13,12,FN,FN
d53.s11.1.34,33,FN,FN
d54.s4.5.23,18,FN,FN
d54.s4.5.25,20,FN,FN
d55.s3.20.23,3,FN,FN
d55.s3.20.23,3,FN,FN
d56.s0.0.9,9,FN,FN
d56.s0.2.9,7,FN,FN
d56.s6.4.12,8,FN,FN
d56.s9.0.17,17,FN,FN
d56.s9.2.13,11,FN,FN
d56.s10.4.13,9,FN,FN
d57.s5.6.20,14,TP,TP
d57.s5.8.20,12,TP,TP
d57.s5.6.18,12,TP,TP
d57.s5.8.18,10,TP,TP
d58.s3.35.41,6,FN,FN
d58.s3.21.29,8,TP,FN
d58.s3.21.31,10,TP,FN
d58.s3.23.29,6,TP,FN
d58.s3.23.31,8,TP,FN
d58.s4.4.13,9,FN,FN
d58.s4.4.26,22,FN,FN
d58.s7.6.12,6,FN,FN
d58.s7.3.12,9,FN,FN
d58.s8.23.25,2,FN,FN
d59.s0.2.5,3,FN,FN
d59.s4.7.11,4,FN,FN
d60.s3.27.32,5,FN,FN
d60.s3.27.34,7,FN,FN
d60.s6.7.12,5,TP,FN
d60.s8.18.29,11,TP,TP
d60.s11.4.26,22,FN,FN
d60.s11.4.28,24,FN,FN
d60.s12.10.17,7,FN,FN
d61.s7.2.5,3,TP,TP
d61.s8.2.5,3,TP,TP
d61.s8.14.17,3,TP,TP
d63.s1.10.21,11,TP,FN
d63.s1.12.21,9,TP,FN
d63.s1.10.23,13,TP,FN
d63.s1.12.23,11,TP,FN
d63.s1.10.26,16,TP,FN
d63.s1.12.26,14,TP,FN
d63.s6.5.22,17,TP,TP
d63.s6.5.24,19,TP,TP
d63.s6.5.26,21,TP,TP
d63.s6.5.29,24,TP,TP
d63.s6.5.14,9,TP,TP
d63.s6.5.16,11,TP,TP
d63.s6.5.18,13,TP,TP
d63.s6.5.20,15,TP,TP
d64.s3.9.21,12,FN,FN
d64.s3.9.23,14,FN,FN
d64.s3.15.21,6,FN,FN
d64.s3.15.23,8,FN,FN
d64.s3.0.21,21,FN,FN
d64.s3.0.23,23,FN,FN
d64.s3.3.21,18,TP,FN
d64.s3.3.23,20,FN,FN
d64.s3.6.21,15,TP,FN
d64.s3.6.23,17,FN,FN
d64.s10.0.19,19,FN,FN
d64.s10.2.19,17,FN,FN
d64.s10.10.19,9,FN,FN
d66.s1.3.27,24,FN,FN
d66.s1.21.27,6,TP,FN
d66.s1.1.27,26,TP,FN
d66.s3.0.5,5,TP,TP
d66.s5.0.21,21,FN,FN
d67.s1.12.20,8,FN,FN
d67.s1.10.20,10,FN,FN
d68.s0.6.11,5,FN,FN
d68.s2.0.12,12,FN,FN
d68.s2.0.14,14,FN,FN
d68.s4.10.12,2,TP,FN
d68.s5.2.8,6,FN,FN
d68.s7.15.21,6,TP,TP
d68.s7.6.15,9,TP,TP
d69.s7.6.7,1,TP,TP
d69.s7.16.22,6,FN,FN
d69.s7.18.22,4,FN,TP
d69.s7.21.22,1,TP,TP
d69.s8.4.11,7,TP,TP
d69.s8.6.11,5,TP,TP
d69.s8.8.11,3,TP,TP
d69.s8.10.11,1,TP,TP
d69.s10.3.8,5,TP,TP
d69.s10.3.20,17,TP,TP
d69.s11.8.13,5,FN,FN
d69.s11.10.13,3,FN,FN
d70.s0.0.4,4,TP,TP
d70.s2.2.27,25,FN,FN
d70.s2.4.27,23,FN,FN
d70.s3.4.8,4,TP,TP
d70.s4.11.13,2,TP,TP
d70.s5.0.8,8,TP,TP
d70.s5.0.23,23,TP,TP
d70.s6.4.17,13,FN,FN
d70.s6.4.19,15,FN,FN
d70.s6.4.24,20,TP,TP
d70.s7.0.3,3,TP,TP
d71.s1.25.31,6,FN,FN
d72.s0.6.8,2,FN,FN
d72.s1.25.31,6,TP,TP
d72.s1.27.31,4,TP,TP
d72.s1.25.33,8,TP,TP
d72.s1.27.33,6,TP,TP
d72.s1.4.18,14,TP,TP
d72.s1.4.12,8,TP,TP
d72.s1.6.18,12,TP,TP
d72.s1.6.12,6,TP,TP
d72.s1.1.18,17,TP,FN
d72.s1.1.12,11,TP,FN
d72.s2.19.27,8,TP,FN
d72.s3.5.27,22,FN,FN
d72.s5.13.34,21,FN,FN
d72.s5.13.36,23,FN,FN
d72.s5.13.16,3,TP,TP
d72.s5.13.22,9,TP,FN
d72.s5.40.43,3,TP,TP
d72.s6.16.19,3,TP,TP
d73.s5.19.20,1,FN,FN
d73.s6.7.14,7,TP,FN
d73.s6.7.16,9,FN,FN
d73.s8.36.37,1,FN,FN
d74.s5.9.42,33,FN,FN
d74.s5.9.45,36,FN,FN
d74.s5.9.11,2,FN,FN
d74.s5.9.13,4,FN,FN
d74.s5.9.17,8,FN,FN
d74.s5.9.20,11,FN,FN
d74.s5.9.24,15,FN,FN
d74.s5.9.27,18,FN,FN
d74.s5.3.9,6,TP,TP
d75.s1.14.17,3,FN,FN
d76.s1.3.22,19,FN,FN
d76.s1.3.24,21,FN,FN
d76.s1.5.22,17,FN,FN
d76.s1.5.24,19,FN,FN
d76.s8.5.21,16,FN,TP
d76.s8.5.23,18,TP,TP
d76.s8.10.21,11,TP,TP
d76.s8.10.23,13,TP,TP
d76.s8.12.21,9,TP,FN
d76.s8.12.23,11,TP,TP
d76.s8.14.21,7,TP,TP
d76.s8.14.23,9,TP,TP
d76.s8.16.21,5,TP,FN
d76.s8.16.23,7,TP,TP
d76.s9.22.30,8,FN,FN
d76.s9.22.26,4,FN,FN
d76.s11.5.11,6,FN,FN
d76.s11.5.13,8,FN,FN
d76.s12.4.10,6,TP,TP
d76.s13.3.29,26,FN,FN
d76.s13.9.29,20,FN,FN
d77.s7.0.14,14,TP,TP
d77.s7.0.18,18,TP,TP
d77.s7.0.24,24,TP,FN
d77.s7.0.26,26,TP,FN
d77.s8.3.13,10,TP,TP
d77.s8.3.15,12,TP,TP
d77.s8.3.18,15,TP,TP
d78.s9.59.62,3,FN,FN
d78.s9.59.64,5,FN,FN
d78.s9.59.68,9,FN,FN
d78.s9.59.70,11,FN,FN
d79.s0.4.10,6,TP,TP
d79.s1.6.18,12,TP,TP
d81.s3.2.18,16,TP,TP
d81.s3.2.18,16,TP,TP
d82.s8.2.9,7,FN,FN
d82.s14.4.14,10,TP,TP
d82.s14.6.14,8,TP,TP
d83.s4.0.11,11,FN,FN
d83.s4.4.11,7,FN,FN
d84.s0.7.14,7,FN,FN
d84.s2.10.18,8,FN,FN
d84.s2.10.13,3,FN,FN
d84.s8.13.17,4,FN,FN
d84.s8.13.17,4,FN,FN
d84.s8.23.27,4,FN,FN
d84.s8.23.27,4,FN,FN
d84.s8.10.17,7,TP,TP
d84.s8.10.17,7,TP,TP
d84.s9.5.10,5,FN,FN
d84.s9.7.10,3,FN,FN
d84.s9.21.26,5,FN,FN
d85.s0.0.8,8,FN,FN
d85.s1.0.6,6,TP,TP
d85.s3.4.15,11,FN,FN
d85.s5.15.36,21,FN,FN
d85.s6.1.24,23,FN,FN
d85.s8.11.30,19,FN,FN
d86.s0.4.16,12,TP,FN
d86.s0.4.14,10,TP,FN
d86.s0.11.16,5,TP,TP
d86.s0.11.14,3,TP,TP
d86.s1.5.16,11,FN,FN
d86.s1.7.16,9,FN,FN
d86.s1.5.10,5,TP,TP
d86.s1.7.10,3,TP,TP
d86.s3.11.13,2,TP,TP
d86.s3.11.15,4,TP,TP
d86.s4.3.19,16,FN,FN
d86.s4.5.7,2,TP,TP
d86.s4.5.19,14,FN,FN
d86.s4.3.7,4,TP,TP
d86.s4.3.9,6,TP,TP
d86.s5.0.8,8,FN,FN
d86.s5.0.10,10,FN,FN
d86.s5.0.12,12,FN,FN
d86.s6.0.6,6,TP,TP
d86.s8.4.16,12,FN,FN
d86.s8.4.13,9,FN,FN
d87.s0.4.10,6,TP,TP
d87.s0.6.10,4,TP,TP
d87.s4.0.5,5,TP,TP
d87.s5.0.23,23,TP,TP
d87.s8.6.21,15,TP,TP
d87.s8.8.21,13,TP,TP
d87.s10.5.32,27,TP,TP
d87.s10.32.34,2,TP,TP
d87.s10.5.8,3,TP,TP
d87.s10.5.10,5,TP,TP
d87.s10.5.18,13,TP,TP
d87.s11.10.25,15,FN,FN
d88.s0.2.17,15,FN,FN
d88.s0.2.19,17,TP,TP
d88.s3.4.15,11,FN,FN
d88.s3.4.21,17,FN,FN
d88.s5.1.8,7,TP,TP
d88.s5.1.10,9,TP,TP
d88.s5.19.22,3,FN,FN
d88.s6.5.21,16,FN,FN
d88.s7.3.15,12,TP,FN
d88.s8.4.15,11,FN,FN
d88.s8.4.21,17,FN,FN
d88.s10.0.15,15,TP,FN
d88.s10.0.17,17,TP,FN
d88.s10.2.15,13,TP,FN
d88.s10.2.17,15,TP,FN
d88.s10.0.8,8,TP,TP
d88.s10.0.10,10,TP,TP
d88.s10.2.8,6,TP,TP
d88.s10.2.10,8,TP,TP
d91.s1.2.24,22,FN,FN
d91.s1.11.24,13,FN,FN
d91.s1.13.24,11,FN,FN
d91.s1.0.24,24,FN,FN
d91.s1.2.26,24,FN,FN
d91.s1.11.26,15,FN,FN
d91.s1.13.26,13,FN,FN
d91.s1.0.26,26,FN,FN
d91.s5.11.13,2,TP,TP
d91.s5.11.16,5,TP,TP
d92.s0.8.24,16,FN,FN
d93.s0.2.4,2,TP,TP
d93.s3.0.6,6,FN,FN
d94.s0.6.8,2,FN,FN
d96.s0.2.12,10,FN,FN
d96.s0.2.15,13,FN,FN
d96.s0.2.8,6,FN,FN
d96.s2.1.8,7,FN,FN
d96.s2.3.8,5,FN,FN
d96.s2.18.20,2,FN,FN
d96.s4.11.14,3,FN,FN
d96.s4.1.23,22,FN,FN
d96.s4.23.32,9,FN,FN
d96.s4.32.40,8,FN,FN
d96.s4.14.23,9,FN,FN
d96.s9.30.42,12,FN,FN
d96.s9.42.50,8,FN,FN
d96.s9.12.42,30,FN,FN
d96.s9.16.42,26,FN,FN
d96.s9.24.42,18,FN,FN
d98.s0.2.9,7,FN,FN
d98.s8.2.12,10,TP,TP
d98.s8.12.15,3,FN,FN
d98.s10.6.12,6,TP,FN
d99.s1.10.18,8,FN,FN
d99.s1.10.19,9,FN,FN
d99.s1.10.21,11,FN,FN
d99.s1.0.18,18,FN,FN
d99.s1.0.19,19,FN,FN
d99.s1.0.21,21,FN,FN
d99.s1.4.18,14,FN,FN
d99.s1.4.19,15,FN,FN
d99.s1.4.21,17,FN,FN
d100.s0.3.11,8,FN,FN
d100.s1.9.22,13,FN,FN
d100.s1.7.9,2,TP,TP
d100.s3.11.35,24,FN,FN
d100.s3.11.13,2,TP,TP
d100.s3.11.28,17,FN,FN
d100.s6.8.16,8,FN,FN
d101.s1.13.16,3,TP,TP
d101.s1.24.27,3,TP,TP
d101.s1.32.36,4,TP,TP
d101.s1.41.44,3,TP,TP
d101.s3.3.7,4,TP,TP
d101.s3.3.12,9,FN,FN
d102.s1.0.11,11,TP,TP
d102.s1.5.11,6,TP,TP
d102.s1.3.11,8,TP,TP
d102.s1.0.13,13,TP,TP
d102.s1.5.13,8,TP,TP
d102.s1.3.13,10,TP,TP
d102.s1.0.21,21,TP,TP
d102.s1.5.21,16,TP,TP
d102.s1.3.21,18,TP,TP
d102.s1.0.23,23,TP,TP
d102.s1.5.23,18,TP,TP
d102.s1.3.23,20,TP,TP
d102.s1.0.18,18,TP,TP
d102.s1.5.18,13,TP,TP
d102.s1.3.18,15,TP,TP
d102.s3.4.12,8,TP,TP
d102.s3.4.15,11,TP,TP
d102.s3.2.4,2,TP,TP
d102.s3.4.33,29,TP,TP
d102.s3.4.20,16,TP,TP
d102.s5.1.4,3,FN,FN
d102.s5.1.6,5,FN,FN
d102.s8.1.4,3,FN,FN
d102.s8.1.12,11,FN,FN
d102.s8.1.20,19,FN,FN
d102.s11.4.11,7,FN,FN
d102.s11.11.16,5,FN,FN
d102.s14.8.21,13,FN,FN
d102.s14.5.8,3,FN,FN
d102.s14.21.25,4,FN,FN
d104.s2.11.28,17,TP,TP
d104.s2.11.33,22,TP,TP
d104.s3.24.32,8,TP,TP
d104.s3.26.32,6,TP,TP
d104.s3.55.63,8,TP,TP
d104.s3.57.63,6,TP,TP
d105.s1.4.13,9,FN,TP
d105.s1.6.13,7,FN,FN
d105.s12.2.15,13,FN,FN
d105.s13.3.13,10,FN,FN
d106.s2.31.74,43,FN,FN
d106.s2.33.74,41,FN,FN
d106.s2.17.74,57,FN,FN
d106.s2.19.74,55,FN,FN
d106.s2.21.74,53,FN,FN
d106.s2.23.74,51,FN,FN
d106.s2.25.74,49,FN,FN
d106.s2.27.74,47,FN,FN
d106.s2.29.74,45,FN,FN
d106.s2.38.74,36,FN,FN
d106.s2.40.74,34,FN,FN
d106.s2.42.74,32,FN,FN
d106.s2.44.74,30,FN,FN
d106.s2.46.74,28,FN,FN
d106.s2.48.74,26,FN,FN
d106.s2.50.74,24,FN,FN
d106.s2.52.74,22,FN,FN
d106.s2.56.74,18,FN,FN
d106.s2.59.74,15,FN,FN
d106.s2.62.74,12,FN,FN
d106.s2.64.74,10,FN,FN
d108.s3.2.8,6,FN,FN
d108.s4.3.20,17,FN,FN
d108.s5.2.17,15,FN,FN
d108.s5.2.9,7,FN,FN
d108.s5.2.14,12,FN,FN
d108.s6.3.11,8,FN,FN
d109.s1.4.20,16,FN,FN
d109.s1.6.20,14,FN,FN
d110.s4.7.10,3,FN,FN
d110.s4.9.10,1,FN,FN
d110.s5.0.2,2,FN,FN
d110.s5.7.18,11,FN,FN
d110.s7.12.16,4,TP,TP
d110.s7.12.18,6,TP,TP
d110.s10.2.21,19,TP,FN
d110.s10.2.23,21,TP,FN
d112.s0.0.9,9,FN,FN
d112.s0.16.17,1,FN,FN
d112.s1.0.33,33,TP,TP
d112.s1.0.35,35,TP,TP
d112.s2.1.11,10,TP,TP
d112.s6.2.8,6,TP,TP
d112.s7.4.12,8,FN,FN
d112.s7.4.14,10,FN,FN
d113.s0.7.8,1,FN,FN
d113.s2.40.43,3,FN,FN
d113.s2.0.11,11,TP,TP
d113.s2.0.14,14,TP,TP
d113.s5.6.7,1,TP,TP
d113.s6.8.22,14,FN,FN
d113.s6.8.15,7,TP,TP
d113.s9.2.23,21,FN,FN
d113.s10.7.14,7,FN,FN
d113.s10.14.25,11,FN,FN
d113.s10.14.33,19,FN,FN
d113.s10.14.39,25,FN,FN
d113.s10.14.59,45,FN,FN
d113.s10.14.61,47,FN,FN
d113.s10.14.73,59,FN,FN
d113.s12.11.23,12,FN,FN
d113.s12.11.25,14,FN,FN
d113.s12.11.28,17,FN,FN
d113.s12.11.16,5,FN,FN
d113.s14.10.21,11,FN,FN
d113.s14.10.13,3,TP,TP
d114.s4.28.31,3,FN,FN
d114.s4.2.12,10,FN,FN
d114.s6.4.21,17,FN,FN
d114.s6.6.21,15,FN,FN
d114.s7.6.20,14,FN,FN
d114.s7.8.20,12,FN,FN
d115.s1.0.18,18,TP,FN
d115.s1.0.5,5,TP,TP
d116.s0.7.15,8,FN,FN
d116.s1.28.47,19,FN,FN
d116.s1.16.47,31,FN,FN
d116.s1.12.28,16,FN,FN
d116.s1.12.16,4,FN,FN
d116.s1.12.28,16,FN,FN
d116.s1.12.16,4,FN,FN
d116.s3.9.17,8,FN,FN
d116.s8.12.24,12,FN,FN
d117.s0.0.8,8,TP,TP
d117.s0.0.4,4,TP,TP
d117.s1.0.9,9,TP,TP
d117.s1.0.11,11,TP,TP
d117.s1.2.9,7,TP,FN
d117.s1.2.11,9,TP,FN
d117.s4.9.15,6,TP,TP
d117.s5.45.57,12,TP,FN
d117.s6.0.13,13,FN,FN
d117.s7.6.22,16,FN,FN
d119.s9.0.26,26,FN,FN
d119.s11.3.29,26,FN,FN
d119.s11.8.29,21,FN,FN
d119.s11.3.33,30,FN,FN
d119.s11.8.33,25,FN,FN
d119.s12.1.17,16,FN,FN
d119.s13.1.28,27,FN,FN
d119.s13.4.28,24,FN,FN
d119.s13.1.31,30,FN,FN
d119.s13.4.31,27,FN,FN
